ano,imposto,inflacao
2001,1672793661.00,7.67
2002,1938263588.00,12.53
2003,2187359508.00,9.3
2004,2584272652.00,7.6
2005,2985849338.00,5.69
2006,3348676911.00,3.14
2007,3704649620.00,4.46
2008,4607482898.00,5.9
2009,4378853249.00,4.31
2010,5546716728.56,5.91
2011,5911976646.00,6.5
2012,6618598760.24,5.84
2013,7425753699.00,5.91
2014,7769057128.00,6.41
2015,7375601038.00,10.67
2016,6370647291.00,6.29
2017,8085783374.00,2.95
2018,9216022654.00,3.75
2019,10074255068.00,4.31
2020,10841227594.00,4.52
2021,13052900720.00,10.06
2022,13948573127.00,5.79